EmployeeNumber,Age,Gender,MaritalStatus_Single,MaritalStatus_Married,OverTime,Attrition,MonthlyIncome,JobLevel,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,PerformanceRating,SatisfactionIndex,IncomePerJobLevel,AttritionRiskScore,RiskBand
154,36,0,False,True,0,0,9738,3,10,9,2,2,4,3,3,3.0,3246.0,0.02566209693635506,Low
155,36,0,False,False,0,0,2835,1,7,1,0,1,4,3,4,2.25,2835.0,0.17262674287441118,Low
158,43,1,False,True,1,0,16959,4,25,25,4,3,4,4,3,3.75,4239.75,0.038998147957253995,Low
159,30,1,False,False,0,0,2613,1,10,10,0,1,3,2,4,2.25,2613.0,0.07495925628267734,Low
160,33,1,False,True,0,0,6146,2,8,7,0,3,2,4,3,2.5,3073.0,0.016792499488489977,Low
161,56,0,False,True,1,1,4963,1,7,5,4,2,2,3,3,2.0,4963.0,0.1745168631251015,Low
162,51,1,True,False,0,0,19537,5,23,20,15,1,3,3,3,2.5,3907.4,0.02088445228088396,Low
163,31,1,False,True,1,1,6172,2,12,7,7,2,3,2,3,2.25,3086.0,0.8316815156123146,High
164,26,0,False,True,0,0,2368,1,5,5,4,3,2,2,3,2.5,2368.0,0.05289310095841151,Low
165,58,0,False,True,0,1,10312,3,40,40,15,4,4,2,3,3.5,3437.3333333333335,0.004456015472813681,Low
167,19,1,True,False,1,1,1675,1,0,0,0,4,3,2,3,3.25,1675.0,0.9487795564207552,High
169,22,1,False,True,0,0,2523,1,3,2,2,3,4,3,3,3.25,2523.0,0.14652923740815899,Low
170,49,0,False,True,0,0,6567,2,16,15,5,3,1,2,3,2.25,3283.5,0.014684076391240367,Low
171,43,0,True,False,0,0,4739,1,18,3,1,2,3,3,3,3.0,4739.0,0.03852849962567974,Low
174,50,0,True,False,0,0,9208,3,16,2,2,3,4,3,3,3.5,3069.3333333333335,0.1127919767520196,Low
175,31,0,False,True,1,1,4559,2,4,2,2,2,3,3,3,2.75,2279.5,0.8259522298488372,High
176,41,1,False,False,1,0,8189,3,12,9,0,3,3,3,3,3.0,2729.6666666666665,0.07719893842589304,Low
177,26,0,False,True,0,0,2942,1,8,8,5,3,3,3,4,3.25,2942.0,0.023843389452350875,Low
178,36,1,False,False,0,0,4941,2,7,3,0,2,2,3,4,2.75,2470.5,0.04146322990959603,Low
179,51,1,True,False,0,1,10650,3,18,4,0,1,4,3,3,3.0,3550.0,0.10921144206817132,Low
182,39,0,False,True,0,0,5902,2,17,15,5,4,3,4,3,3.5,2951.0,0.00841532831066256,Low
183,25,1,False,True,0,0,8639,2,6,2,2,1,3,3,3,2.75,4319.5,0.49672552967236,Medium
184,30,1,False,True,1,0,6347,2,12,11,4,3,4,1,3,3.0,3173.5,0.27220854013974805,Low
190,32,0,True,False,0,1,4200,1,10,5,0,1,1,4,4,1.75,4200.0,0.36156292997583434,Medium
192,45,1,True,False,0,0,3452,1,9,6,0,3,4,2,3,2.75,3452.0,0.06901531002563639,Low
193,38,0,True,False,1,0,4317,2,19,3,2,4,3,3,4,3.0,2158.5,0.161643886249012,Low
194,30,0,True,False,0,0,2632,1,5,5,0,1,3,2,3,2.25,2632.0,0.13642568262353216,Low
195,32,1,False,False,0,0,4668,2,9,8,0,4,4,4,3,4.0,2334.0,0.007726551421609649,Low
197,30,0,False,False,0,0,3204,1,8,3,2,4,1,3,3,3.0,3204.0,0.04554841124599697,Low
198,30,1,True,False,0,0,2720,1,6,5,1,2,4,3,3,3.25,2720.0,0.10052008363745363,Low
199,41,1,False,False,0,0,17181,4,21,7,7,4,1,2,3,2.25,4295.25,0.21639186750850786,Low
200,41,1,False,True,0,0,2238,1,7,5,1,3,1,3,4,2.75,2238.0,0.08785127740156327,Low
201,19,0,True,False,0,0,1483,1,1,1,0,2,2,3,3,2.75,1483.0,0.383504567109729,Medium
202,40,0,False,False,0,0,5605,2,20,20,2,2,2,3,3,2.0,2802.5,0.02511039890909749,Low
204,35,1,False,True,0,0,7295,3,10,10,0,3,2,3,3,2.25,2431.6666666666665,0.015073102255825335,Low
205,53,1,False,True,1,0,2306,2,13,7,4,2,3,1,4,2.5,1153.0,0.2595937753712288,Low
206,45,1,False,False,0,0,2348,2,20,17,0,2,2,1,3,2.0,1174.0,0.07043644591395612,Low
207,32,0,True,False,0,0,8998,3,9,9,3,2,4,3,3,3.25,2999.3333333333335,0.11572913852324349,Low
208,29,1,False,True,0,0,4319,2,10,10,0,4,3,3,3,2.75,2159.5,0.0017974713014462867,Low
211,51,1,False,True,0,0,6132,2,10,1,0,2,3,3,3,2.75,3066.0,0.025927935788272943,Low
214,58,0,False,True,1,0,3346,1,9,1,0,2,2,2,4,2.0,3346.0,0.20105814376798492,Low
215,40,1,False,True,0,0,10855,3,15,12,2,3,4,2,3,2.5,3618.3333333333335,0.0882828938144965,Low
216,34,0,False,True,0,0,2231,1,6,4,1,3,3,3,3,3.25,2231.0,0.2311820603800906,Low
217,22,1,False,True,0,0,2323,1,2,2,2,3,4,3,4,2.75,2323.0,0.020854418111952742,Low
218,27,1,False,False,0,0,2024,1,6,2,2,4,2,1,3,2.75,2024.0,0.045656519183117764,Low
221,28,1,False,True,0,0,2713,1,5,5,0,3,4,1,3,2.75,2713.0,0.06179589815385695,Low
223,57,1,False,False,1,0,9439,3,12,5,1,3,4,1,3,2.5,3146.3333333333335,0.079603902435216,Low
224,27,1,False,False,1,0,2566,1,1,1,0,3,3,2,3,3.0,2566.0,0.05681381599463222,Low
226,50,0,True,False,0,0,19926,5,21,5,4,3,2,3,3,2.5,3985.2,0.0451438874637116,Low
227,41,1,False,False,0,0,2451,1,13,9,1,1,3,3,3,2.0,2451.0,0.039816287998305736,Low
228,30,0,False,True,0,0,9419,3,12,10,7,2,4,3,3,3.0,3139.6666666666665,0.04428286674465636,Low
230,38,0,True,False,0,0,8686,2,12,8,0,1,4,4,4,3.0,4343.0,0.06537479056573038,Low
231,32,1,True,False,0,0,3038,1,8,5,1,3,3,3,4,2.5,3038.0,0.0822524597154925,Low
233,27,1,False,True,1,0,3058,1,6,5,1,3,2,2,3,2.75,3058.0,0.2567647025531713,Low
235,19,0,True,False,0,1,2325,1,1,0,0,3,1,4,4,2.25,2325.0,0.9035448171270425,High
238,36,1,True,False,0,0,2088,1,13,8,7,4,2,2,3,2.75,2088.0,0.3946458931078004,Medium
239,30,1,False,False,0,0,3072,2,12,12,6,3,1,3,3,2.5,1536.0,0.01415393706331305,Low
240,45,0,False,False,1,0,5006,2,9,5,0,3,1,4,3,2.25,2503.0,0.1405587571783902,Low
241,56,0,False,False,1,0,4257,1,19,2,2,3,1,3,3,2.5,4257.0,0.02738044469873311,Low
242,33,1,True,False,0,0,2500,1,4,3,0,3,4,4,3,3.0,2500.0,0.04024593577331695,Low
243,19,1,True,False,0,1,1102,1,1,1,1,2,4,2,4,2.75,1102.0,0.7051975458877247,High
244,46,0,False,False,0,0,10453,3,24,24,15,2,1,3,4,2.25,3484.3333333333335,0.03731235957787939,Low
245,38,0,True,False,0,0,2288,1,2,2,2,3,4,3,3,3.25,2288.0,0.10782760443417742,Low
246,31,0,False,True,1,0,3929,1,7,4,0,3,4,3,4,3.25,3929.0,0.186902844573552,Low
247,34,0,True,False,0,0,2311,1,9,3,1,4,2,3,3,3.25,2311.0,0.07087413798020145,Low
248,41,0,True,False,1,1,3140,1,4,4,0,2,2,2,4,2.5,3140.0,0.5964111272729837,Medium
249,50,1,False,True,0,0,3690,1,5,3,0,3,3,2,3,3.0,3690.0,0.04585848117319092,Low
250,53,0,False,False,0,0,4450,2,5,4,1,4,1,3,3,2.75,2225.0,0.002235180554355556,Low
252,33,0,False,True,0,0,2756,1,8,8,1,4,2,3,3,3.25,2756.0,0.0031712843983718432,Low
253,40,0,False,True,0,0,19033,5,21,20,9,4,3,3,3,3.0,3806.6,0.010966596657647118,Low
254,55,1,True,False,0,0,18722,5,36,24,2,3,2,3,3,3.0,3744.4,0.0006299923688602892,Low
256,34,1,False,True,0,0,9547,2,10,10,1,4,3,2,3,3.0,4773.5,0.016780763976240412,Low
258,51,0,True,False,0,0,13734,4,21,7,1,4,2,3,3,3.0,3433.5,0.005455097572374694,Low
259,52,1,False,True,0,0,19999,5,34,33,11,3,3,3,3,2.5,3999.8,0.008029944354426445,Low
260,27,0,True,False,0,0,2279,1,7,7,0,4,2,2,3,3.0,2279.0,0.027535661625218658,Low
261,35,1,False,True,1,1,5916,2,8,1,0,2,3,3,3,2.25,2958.0,0.7273943209002691,High
262,43,1,False,False,0,0,2089,1,7,5,2,4,4,4,3,4.0,2089.0,0.0002541324332240289,Low
264,45,1,False,True,0,0,16792,4,22,20,11,1,4,3,4,3.0,4198.0,0.03422853426475755,Low
267,37,1,False,True,1,0,3564,1,8,8,1,2,1,2,3,1.5,3564.0,0.2211598152411445,Low
269,35,0,True,False,0,0,4425,2,10,6,1,2,2,3,3,2.75,2212.5,0.368498008092186,Medium
270,42,0,False,False,0,0,5265,2,11,5,0,3,3,3,3,2.75,2632.5,0.002118289876487433,Low
271,38,1,False,True,0,0,6553,2,14,1,0,4,3,3,3,3.0,3276.5,0.023510243810833963,Low
273,38,1,False,True,0,0,6261,2,9,7,1,4,4,1,3,2.5,3130.5,0.037138428582414645,Low
274,27,1,False,True,0,0,4298,2,6,2,2,3,1,3,3,2.5,2149.0,0.45428099799499466,Medium
275,49,1,False,False,1,0,6804,2,7,7,1,4,4,3,3,3.0,3402.0,0.005615939920074044,Low
277,34,1,False,False,1,0,3815,1,5,5,2,4,3,4,3,3.75,3815.0,0.03440848453148574,Low
281,40,1,False,True,1,0,2741,2,15,7,3,3,4,4,3,3.5,1370.5,0.2752580030077803,Low
282,38,1,False,True,1,1,6673,2,17,1,0,2,1,3,3,2.0,3336.5,0.5478203729832619,Medium
283,29,0,False,True,0,1,7639,3,10,10,1,2,4,2,4,3.0,2546.3333333333335,0.028446740247033125,Low
284,22,1,False,False,1,0,2328,1,4,4,2,4,2,2,3,2.25,2328.0,0.16513747256472022,Low
286,36,0,True,False,0,0,2153,1,8,8,1,2,4,3,3,2.5,2153.0,0.3993408727805369,Medium
287,40,1,False,True,0,0,4876,2,5,3,0,4,4,1,3,3.25,2438.0,0.008156898891486988,Low
288,46,1,False,False,0,0,9396,3,17,4,0,4,1,3,3,2.75,3132.0,0.006868425428343792,Low
291,32,1,False,True,0,1,10400,3,14,14,9,4,4,2,3,3.25,3466.6666666666665,0.11147952672442983,Low
292,30,1,True,False,0,0,8474,3,12,11,5,3,3,3,4,3.0,2824.6666666666665,0.010751282992064523,Low
293,27,0,True,False,0,0,9981,2,7,7,0,4,3,3,3,3.5,4990.5,0.0733105225110133,Low
296,51,1,False,True,0,0,12490,3,16,10,4,2,2,1,3,2.25,4163.333333333333,0.002473156412331695,Low
297,30,0,True,False,1,1,2657,1,8,5,0,4,1,3,3,2.75,2657.0,0.27559852694305015,Low
298,41,0,True,False,1,0,13591,3,16,1,0,4,4,3,3,3.5,4530.333333333333,0.07089480498193008,Low
299,30,0,True,False,0,1,6696,2,9,6,0,3,1,2,3,2.25,3348.0,0.8098510247378887,High
300,29,1,True,False,0,1,2058,1,7,6,1,3,3,2,3,3.0,2058.0,0.06831693956987524,Low
302,45,0,True,False,0,0,8865,3,23,19,12,4,4,3,3,3.75,2955.0,0.023231461798429363,Low
303,54,0,False,True,0,0,5940,2,16,6,0,4,1,3,3,3.0,2970.0,0.004519761308507408,Low
304,36,1,True,False,0,0,5914,2,16,13,3,4,2,4,3,3.5,2957.0,0.046285841894758206,Low
305,33,0,False,True,0,0,2622,1,7,3,1,3,2,3,4,3.0,2622.0,0.0834362353603765,Low
306,37,1,False,False,1,0,12185,3,10,10,0,2,4,3,3,3.0,4061.6666666666665,0.0031613168380705786,Low
307,38,1,False,False,0,0,10609,3,17,16,5,1,3,2,3,2.25,3536.3333333333335,0.013951672242365298,Low
308,31,1,False,True,0,0,4345,2,6,5,1,3,3,3,3,3.25,2172.5,0.004326868629978042,Low
309,59,1,False,True,0,0,2177,1,7,1,0,3,4,3,3,2.75,2177.0,0.018002218394119415,Low
311,37,1,False,False,0,0,2793,1,13,9,5,1,4,3,3,2.75,2793.0,0.19577448184379423,Low
312,29,0,False,True,0,0,7918,3,11,11,4,2,4,3,3,3.25,2639.3333333333335,0.018233925153744345,Low
314,35,0,True,False,0,0,8789,3,10,10,0,3,3,4,3,2.75,2929.6666666666665,0.04985541563871158,Low
315,29,1,True,False,1,1,2389,1,4,4,0,3,4,2,3,3.0,2389.0,0.45354849262782554,Medium
316,52,0,True,False,0,0,3212,1,6,2,2,3,4,2,3,2.75,3212.0,0.21854605167528868,Low
319,42,1,False,True,0,0,19232,5,22,22,11,3,4,3,3,3.5,3846.4,0.011083625329457503,Low
321,59,1,False,True,0,0,2267,1,7,2,2,2,3,2,3,2.75,2267.0,0.1150906775504548,Low
323,50,0,False,False,0,0,19517,5,32,7,0,4,4,2,3,3.25,3903.4,0.001460649939108617,Low
325,33,1,False,True,1,1,2436,1,8,5,0,3,4,1,3,2.75,2436.0,0.49583001094092727,Medium
327,43,0,False,True,1,0,16064,4,22,17,1,4,4,3,4,3.5,4016.0,0.014962945661295222,Low
328,33,0,False,True,0,1,2707,1,13,9,1,1,1,4,4,1.75,2707.0,0.2291126030888083,Low
329,52,1,True,False,1,0,19068,5,33,33,15,1,3,4,3,3.0,3813.6,0.1440985202873064,Low
330,32,0,False,True,0,0,3931,1,6,4,1,3,2,3,3,2.25,3931.0,0.056052861727468185,Low
331,32,1,True,False,1,1,3730,1,4,3,1,4,3,1,3,3.0,3730.0,0.5694563954567466,Medium
332,39,0,False,False,0,0,2232,1,7,3,1,3,3,3,3,3.0,2232.0,0.03158366016428347,Low
333,32,1,False,True,0,0,4465,2,4,3,2,3,4,3,3,2.75,2232.5,0.05999797121580534,Low
334,41,1,False,False,0,0,3072,2,17,1,0,3,1,2,3,1.75,1536.0,0.04346357142911079,Low
335,40,1,False,False,0,0,3319,2,9,9,4,1,4,3,3,2.25,1659.5,0.032654859483841774,Low
336,45,1,False,True,0,0,19202,5,25,24,1,3,4,3,3,3.25,3840.4,0.0016351701753725397,Low
337,31,1,False,False,0,0,13675,3,9,2,2,2,3,3,3,2.25,4558.333333333333,0.039823526473559516,Low
338,33,0,False,True,0,0,2911,1,2,2,0,3,4,2,3,3.0,2911.0,0.024871414855793902,Low
339,34,1,False,True,0,0,5957,2,13,11,5,4,1,3,3,2.5,2978.5,0.03316810331170449,Low
340,37,0,False,True,0,0,3920,1,17,3,0,3,1,2,3,1.75,3920.0,0.026587751347147005,Low
341,45,1,False,True,0,0,6434,2,9,3,0,1,3,3,3,2.75,3217.0,0.028564920556239604,Low
